,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,0.9699926376342772,1540.0,1676687437.5916677,900,225.0,12.125,0.9687955975532532,,,,,,,,none
1,2,1.0651280879974363,,1676687437.686803,1000,,,0.9653631448745728,0.0,200.0,,,,,,none
2,4,1.1948027610778809,2348.0,1676687437.8164778,1900,237.5,9.9375,0.9341241121292114,,,,,,,,none
3,5,1.2884690761566162,,1676687437.910144,2000,,,0.9306915998458862,0.0,200.0,,,,,,none
4,6,1.4000129699707031,,1676687438.021688,2500,,,0.913355827331543,0.0,200.0,,,,,,none
5,7,1.4180409908294678,2809.0,1676687438.039716,2900,241.6666717529297,10.166666984558104,0.8994525671005249,,,,,,,,none
6,8,1.5124599933624268,,1676687438.134135,3000,,,0.8960200548171997,0.0,200.0,,,,,,none
7,10,1.6399309635162354,3109.0,1676687438.261606,3900,243.75,14.09375,0.8647810220718384,,,,,,,,none
8,11,1.7335584163665771,,1676687438.3552334,4000,,,0.861348569393158,0.0,200.0,,,,,,none
9,13,1.8628549575805664,3317.0,1676687438.48453,4900,245.0,12.824999809265137,0.8301094770431519,,,,,,,,none
10,14,1.9462530612945557,,1676687438.567928,5000,,,0.8266770243644714,0.0,200.0,,,,,,none
11,15,3.4973106384277344,,1676687440.1189857,5500,,,0.8093412518501282,0.0,200.0,0.0007033802685327828,0.0,0.0007825000211596489,-4232.8515625,1550.475830078125,none
12,17,5.036847829818726,,1676687441.6585228,6000,,,0.7920054793357849,0.0,200.0,1.6889134712982923e-05,0.0,0.0007825000211596489,-4253.9755859375,2999.8603515625,none
13,19,7.803471088409424,930.0,1676687444.425146,6900,246.42857360839844,11.696428298950195,0.7607664465904236,,,5.39645634489716e-06,0.0,0.0007825000211596489,-4223.76806640625,5529.3037109375,none
14,20,8.115085124969482,,1676687444.73676,7000,,,0.7573339343070984,0.0,200.0,3.171770231347182e-06,0.0,0.0007825000211596489,-4201.173828125,5821.71435546875,none
15,21,9.685983896255491,,1676687446.307659,7500,,,0.7399981617927551,0.0,200.0,1.2418773849276477e-06,0.0,0.0007825000211596489,-4214.34326171875,7382.2109375,none
16,22,10.916850090026855,750.0,1676687447.538525,7900,246.875,11.96875,0.7260949015617371,,,3.428911077207886e-05,0.0,0.0007825000211596489,-4236.505859375,8633.3671875,none
17,23,11.267391920089722,,1676687447.889067,8000,,,0.7226623892784119,0.0,200.0,2.071550170512637e-06,0.0,0.0007825000211596489,-4222.375,8932.5859375,none
18,24,12.819774627685549,,1676687449.4414496,8500,,,0.7053266167640686,0.0,200.0,8.35134244425717e-07,0.0,0.0007825000211596489,-4227.962890625,10392.9443359375,none
19,25,14.019988298416138,652.0,1676687450.6416633,8900,247.22222900390625,12.902777671813965,0.6914233565330505,,,1.1103726365035982e-06,0.0,0.0007825000211596489,-4225.97265625,11556.8935546875,none
20,26,14.370815515518188,,1676687450.9924903,9000,,,0.6879909038543701,0.0,200.0,4.500114300753921e-06,0.0,0.0007825000211596489,-4208.806640625,11879.462890625,none
21,27,15.938417196273804,,1676687452.5600922,9500,,,0.6706551313400269,0.0,200.0,6.607822797377594e-06,0.0,0.0007825000211596489,-4210.69921875,13569.41015625,none
22,28,17.152655839920044,590.0,1676687453.7743309,9900,247.5,13.362500190734863,0.656751811504364,,,2.329845301574096e-06,0.0,0.0007825000211596489,-4243.73095703125,14938.876953125,none
23,29,17.501100540161133,,1676687454.1227756,10000,,,0.6533193588256836,0.0,200.0,2.2505839297082275e-05,0.0,0.0007825000211596489,-4234.7255859375,15272.939453125,none
24,30,19.063708305358887,,1676687455.685383,10500,,,0.6359835863113403,0.0,200.0,0.00013654088252224028,0.0,0.0007825000211596489,-4214.09521484375,17102.65625,none
25,31,20.274521112442017,548.0,1676687456.896196,10900,247.7272796630859,16.44318199157715,0.6220802664756775,,,3.370247213752009e-06,0.0,0.0007825000211596489,-4211.69775390625,18768.33984375,none
26,33,22.173184156417847,,1676687458.7948592,11500,,,0.6013120412826538,0.0,200.0,2.6019708457170054e-05,0.0,0.0007825000211596489,-4199.1064453125,21247.484375,none
27,34,23.39783763885498,517.0,1676687460.019513,11900,247.9166717529297,16.30208396911621,0.5874087810516357,,,2.009470108532696e-06,0.0,0.0007825000211596489,-4199.5478515625,22889.3671875,none
28,35,23.757230520248413,,1676687460.3789055,12000,,,0.5839762687683105,0.0,200.0,2.089178997266572e-05,0.0,0.0007825000211596489,-4205.1064453125,23296.919921875,none
29,36,25.313178062438965,,1676687461.934853,12500,,,0.5666404962539673,0.0,200.0,7.615560207341332e-06,0.0,0.0007825000211596489,-4204.47265625,25320.994140625,none
30,38,26.87245225906372,,1676687463.4941273,13000,,,0.549304723739624,0.0,200.0,1.8551360199126064e-06,0.0,0.0007825000211596489,-4209.771484375,27510.521484375,none
31,39,28.433604955673218,,1676687465.05528,13500,,,0.5319689512252808,0.0,200.0,4.496261681197211e-06,0.0,0.0007825000211596489,-4214.8984375,29813.302734375,none
32,40,29.64735198020935,475.0,1676687466.269027,13900,248.2142791748047,17.75,0.5180656909942627,,,3.755531452043215e-06,0.0,0.0007825000211596489,-4196.6552734375,31617.40234375,none
33,41,29.99819540977478,,1676687466.6198704,14000,,,0.5146332383155823,0.0,200.0,1.160605336281151e-07,0.0,0.0007825000211596489,-4195.4462890625,32061.15234375,none
34,42,31.564591884613037,,1676687468.186267,14500,,,0.4972974359989166,0.0,200.0,6.2277313190861605e-06,0.0,0.0007825000211596489,-4191.0595703125,34268.8671875,none
35,43,32.779717206954956,459.0,1676687469.4013922,14900,248.3333282470703,16.875,0.48339414596557617,,,1.4403589375433512e-05,0.0,0.0007825000211596489,-4196.7275390625,35994.63671875,none
36,44,33.13027286529541,,1676687469.751948,15000,,,0.47996169328689575,0.0,200.0,1.29615164041752e-05,0.0,0.0007825000211596489,-4185.97705078125,36416.51171875,none
37,45,34.699020862579346,,1676687471.320696,15500,,,0.4626259207725525,0.0,200.0,1.969879122043494e-05,0.0,0.0007825000211596489,-4181.8359375,38518.60546875,none
38,46,35.89504599571228,447.0,1676687472.516721,15900,248.4375,16.875,0.448722630739212,,,2.5699619072838686e-06,0.0,0.0007825000211596489,-4203.0947265625,40232.60546875,none
39,47,36.24872875213623,,1676687472.8704038,16000,,,0.4452901482582092,0.0,200.0,5.701184818462934e-06,0.0,0.0007825000211596489,-4187.52783203125,40654.48046875,none
40,48,37.80688190460205,,1676687474.428557,16500,,,0.427954375743866,0.0,200.0,3.7048662306915503e-06,0.0,0.0007825000211596489,-4187.14013671875,42783.21875,none
41,50,39.390366315841675,,1676687476.012041,17000,,,0.4106186032295227,0.0,200.0,1.4498321434075478e-05,0.0,0.0007825000211596489,-4190.1494140625,44911.40625,none
42,51,40.9535448551178,,1676687477.57522,17500,,,0.39328286051750183,0.0,200.0,1.35661275635357e-05,0.0,0.0007825000211596489,-4188.90087890625,47083.3984375,none
43,52,42.164923667907715,428.0,1676687478.7865987,17900,248.61111450195312,17.01388931274414,0.3793795704841614,,,2.4858427423168905e-05,0.0,0.0007825000211596489,-4190.66357421875,48804.0546875,none
44,54,44.08106970787048,,1676687480.7027447,18500,,,0.3586113154888153,0.0,200.0,2.8408356229192577e-05,0.0,0.0007825000211596489,-4180.041015625,51368.78515625,none
45,55,45.29479455947876,420.0,1676687481.9164696,18900,248.6842041015625,16.855262756347656,0.34470802545547485,,,5.836388481839094e-06,0.0,0.0007825000211596489,-4174.18212890625,53074.13671875,none
46,56,45.64963245391846,,1676687482.2713077,19000,,,0.34127554297447205,0.0,200.0,5.218239493842702e-06,0.0,0.0007825000211596489,-4160.80517578125,53495.515625,none
47,57,47.21657037734985,,1676687483.8382454,19500,,,0.3239397704601288,0.0,200.0,1.5163313037191983e-05,0.0,0.0007825000211596489,-4185.0625,55580.67578125,none
48,58,48.43103289604187,414.0,1676687485.052708,19900,248.75,16.012500762939453,0.3100365102291107,,,2.9757653464912437e-05,0.0,0.0007825000211596489,-4183.43359375,57212.58984375,none
49,59,48.78476977348328,,1676687485.4064448,20000,,,0.3066040277481079,0.0,200.0,0.0003184730594512075,0.0,0.0007825000211596489,-4168.4931640625,57612.90234375,none
50,60,50.38920474052429,,1676687487.0108798,20500,,,0.28926825523376465,0.0,200.0,4.770166196976788e-05,0.0,0.0007825000211596489,-4148.16455078125,59690.890625,none
51,61,51.61613869667053,407.0,1676687488.2378137,20900,248.8095245361328,18.8988094329834,0.2753649652004242,,,0.0002696725423447788,0.0,0.0007825000211596489,-4150.84619140625,61469.109375,none
52,62,51.97432374954224,,1676687488.5959988,21000,,,0.2719324827194214,0.0,200.0,6.147815838630777e-06,0.0,0.0007825000211596489,-4144.1865234375,61941.578125,none
53,63,53.536458253860474,,1676687490.1581333,21500,,,0.2545967102050781,0.0,200.0,8.30749013402965e-06,0.0,0.0007825000211596489,-4152.28955078125,64343.7421875,none
54,64,54.76855278015137,402.0,1676687491.3902278,21900,248.86363220214844,21.0625,0.2406934350728989,,,2.072553434118163e-05,0.0,0.0007825000211596489,-4158.529296875,66355.7734375,none
55,65,55.12210702896118,,1676687491.743782,22000,,,0.23726095259189608,0.0,200.0,2.9072793040541e-05,0.0,0.0007825000211596489,-4144.9609375,66882.3359375,none
56,66,56.70244097709656,,1676687493.324116,22500,,,0.2199251800775528,0.0,200.0,1.333359796262812e-05,0.0,0.0007825000211596489,-4163.79833984375,69507.7265625,none
57,67,57.94680738449097,397.0,1676687494.5684824,22900,248.9130401611328,21.798913955688477,0.2060219049453735,,,1.644878284423612e-05,0.0,0.0007825000211596489,-4160.08984375,71641.1015625,none
58,68,58.30247259140015,,1676687494.9241476,23000,,,0.20258942246437073,0.0,200.0,2.565162958489964e-06,0.0,0.0007825000211596489,-4159.4560546875,72186.0703125,none
59,69,59.87480902671814,,1676687496.496484,23500,,,0.1852536499500275,0.0,200.0,7.439356522809248e-06,0.0,0.0007825000211596489,-4133.2158203125,74960.9765625,none
60,70,61.107858419418335,393.0,1676687497.7295334,23900,248.9583282470703,22.53125,0.171350359916687,,,4.911577343591489e-05,0.0,0.0007825000211596489,-4157.5439453125,77247.796875,none
61,71,61.44813179969787,,1676687498.0698068,24000,,,0.1679178774356842,0.0,200.0,1.7326290617347695e-05,0.0,0.0007825000211596489,-4149.666015625,77811.078125,none
62,72,63.02844309806824,,1676687499.650118,24500,,,0.15058211982250214,0.0,200.0,2.6406878532725383e-05,0.0,0.0007825000211596489,-4151.0380859375,80644.4453125,none
63,73,64.29198932647705,389.0,1676687500.9136643,24900,249.0,23.114999771118164,0.13667882978916168,,,0.0034897688310593367,0.0,0.0007825000211596489,-4138.16259765625,82936.1640625,none
64,74,64.61817908287048,,1676687501.239854,25000,,,0.13324634730815887,0.0,200.0,1.582608456374146e-05,0.0,0.0007825000211596489,-4162.9384765625,83514.0390625,none
65,75,66.20059418678284,,1676687502.8222692,25500,,,0.1159105822443962,0.0,200.0,0.0034373828675597906,0.0,0.0007825000211596489,-4139.98046875,86450.7890625,none
66,76,67.47276401519775,386.0,1676687504.094439,25900,250.0,23.65999984741211,0.10200729966163637,,,6.675527401966974e-05,0.0,0.0007825000211596489,-4140.4169921875,88846.5390625,none
67,77,67.7822060585022,,1676687504.403881,26000,,,0.09857481718063354,0.0,200.0,8.815371984383091e-06,0.0,0.0007825000211596489,-4161.6630859375,89438.0390625,none
68,78,69.3640296459198,,1676687505.985705,26500,,,0.08123905211687088,0.0,200.0,1.6354118997696787e-05,0.0,0.0007825000211596489,-4153.2568359375,92420.2890625,none
69,79,70.65392899513245,382.0,1676687507.275604,26900,250.0,24.959999084472656,0.06733576953411102,,,1.1266773071838545e-05,0.0,0.0007825000211596489,-4167.828125,94857.0390625,none
70,80,70.94187092781067,,1676687507.563546,27000,,,0.06390328705310822,0.0,200.0,3.023142926394939e-05,0.0,0.0007825000211596489,-4151.68798828125,95481.0390625,none
71,81,72.51496934890747,,1676687509.1366444,27500,,,0.05000000074505806,0.0,200.0,7.662068128411192e-06,0.0,0.0007825000211596489,-4148.0673828125,98597.4140625,none
72,82,73.80248618125916,380.0,1676687510.4241612,27900,250.0,24.53499984741211,0.05000000074505806,,,1.331963994744001e-05,0.0,0.0007825000211596489,-4165.20263671875,101074.6640625,none
73,83,74.08638048171997,,1676687510.7080555,28000,,,0.05000000074505806,0.0,200.0,4.204666038276628e-05,0.0,0.0007825000211596489,-4158.5087890625,101688.0390625,none
74,85,76.9632580280304,377.0,1676687513.584933,28900,250.0,24.575000762939453,0.05000000074505806,,,1.549844273540657e-05,0.0,0.0007825000211596489,-4140.7392578125,107156.4140625,none
75,86,77.23965501785278,,1676687513.86133,29000,,,0.05000000074505806,0.0,200.0,2.3943259293446317e-05,0.0,0.0007825000211596489,-4156.55908203125,107770.7890625,none
76,87,78.82782673835754,,1676687515.4495018,29500,,,0.05000000074505806,0.0,200.0,1.6056064850999974e-05,0.0,0.0007825000211596489,-4136.16162109375,110841.1640625,none
77,88,80.12647151947021,374.0,1676687516.7481463,29900,250.0,24.26499938964844,0.05000000074505806,,,3.090869722655043e-05,0.0,0.0007825000211596489,-4139.857421875,113285.1640625,none
78,89,80.4059488773346,,1676687517.027624,30000,,,0.05000000074505806,0.0,200.0,1.0177404874411876e-05,0.0,0.0007825000211596489,-4142.79296875,113891.7890625,none
79,90,81.98091912269592,,1676687518.602594,30500,,,0.05000000074505806,0.0,200.0,3.040956289623864e-05,0.0,0.0007825000211596489,-4116.57763671875,117040.2890625,none
80,92,83.57385969161987,,1676687520.1955347,31000,,,0.05000000074505806,0.0,200.0,0.00014388673298526555,0.0,0.0007825000211596489,-4109.4892578125,120420.5390625,none
81,94,86.47572660446167,370.0,1676687523.0974016,31900,250.0,29.75,0.05000000074505806,,,1.0692589967220556e-05,0.0,0.0007825000211596489,-4117.77685546875,126872.7890625,none
82,95,86.77861666679382,,1676687523.4002917,32000,,,0.05000000074505806,0.0,200.0,4.7062963858479634e-05,0.0,0.0007825000211596489,-4125.4423828125,127616.5390625,none
83,96,88.41733121871948,,1676687525.0390062,32500,,,0.05000000074505806,0.0,200.0,1.62921569426544e-05,0.0,0.0007825000211596489,-4132.533203125,131371.546875,none
84,97,89.71652173995972,368.0,1676687526.3381968,32900,250.0,31.73500061035156,0.05000000074505806,,,2.6637826522346583e-05,0.0,0.0007825000211596489,-4116.83251953125,134433.296875,none
85,98,90.0371925830841,,1676687526.6588676,33000,,,0.05000000074505806,0.0,200.0,2.285584923811257e-05,0.0,0.0007825000211596489,-4125.556640625,135226.671875,none
86,99,91.6409673690796,,1676687528.2626424,33500,,,0.05000000074505806,0.0,200.0,0.003197324927896261,0.0,0.0007825000211596489,-4132.67529296875,139273.546875,none
87,100,92.91983795166016,366.0,1676687529.541513,33900,250.0,33.209999084472656,0.05000000074505806,,,1.0155401469091885e-05,0.0,0.0007825000211596489,-4120.94873046875,142614.296875,none
88,101,93.23336744308472,,1676687529.8550425,34000,,,0.05000000074505806,0.0,200.0,2.1009396732551977e-05,0.0,0.0007825000211596489,-4121.74609375,143444.546875,none
89,102,94.85787105560304,,1676687531.479546,34500,,,0.05000000074505806,0.0,200.0,3.3671567507553846e-05,0.0,0.0007825000211596489,-4121.93310546875,147584.046875,none
90,103,96.11996269226074,364.0,1676687532.7416377,34900,250.0,34.04499816894531,0.05000000074505806,,,6.863475846330402e-06,0.0,0.0007825000211596489,-4115.40771484375,150956.796875,none
91,104,96.43907856941225,,1676687533.0607536,35000,,,0.05000000074505806,0.0,200.0,0.006434967741370201,0.0,0.0007825000211596489,-4121.4267578125,151807.921875,none
92,107,99.59759092330933,,1676687536.219266,36000,,,0.05000000074505806,0.0,200.0,3.207288318662904e-05,0.0,0.0007825000211596489,-4117.3095703125,160522.796875,none
93,110,102.81362462043762,,1676687539.4352996,37000,,,0.05000000074505806,0.0,200.0,2.1768779333797283e-05,0.0,0.0007825000211596489,-4134.080078125,170002.796875,none
94,111,104.43157815933228,,1676687541.0532532,37500,,,0.05000000074505806,0.0,200.0,5.9519457863643765e-05,0.0,0.0007825000211596489,-4118.80224609375,174940.171875,none
95,112,105.68629932403564,359.0,1676687542.3079743,37900,250.0,40.119998931884766,0.05000000074505806,,,0.00011391359294066206,0.0,0.0007825000211596489,-4142.58203125,178942.421875,none
96,113,106.04399418830872,,1676687542.6656692,38000,,,0.05000000074505806,0.0,200.0,3.4095348382834345e-05,0.0,0.0007825000211596489,-4120.7451171875,179945.421875,none
97,114,107.67133975028992,,1676687544.2930148,38500,,,0.05000000074505806,0.0,200.0,3.69683257304132e-05,0.0,0.0007825000211596489,-4129.7822265625,185000.046875,none
98,116,109.25935864448547,,1676687545.8810337,39000,,,0.05000000074505806,0.0,200.0,0.005406500771641731,0.0,0.0007825000211596489,-4126.5859375,190122.421875,none
99,118,112.07346701622008,357.0,1676687548.695142,39900,250.0,45.3650016784668,0.05000000074505806,,,1.5903309758869e-05,0.0,0.0007825000211596489,-4138.8251953125,199743.671875,none
100,120,113.99817562103271,,1676687550.6198506,40500,,,0.05000000074505806,97.0,200.0,3.574471702449955e-05,0.0,0.0007825000211596489,-4087.555908203125,206662.296875,none
101,121,115.56044006347656,355.0,1676687552.182115,40900,250.0,49.185001373291016,0.05000000074505806,,,1.394836635881802e-05,0.0,0.0007825000211596489,-4080.38232421875,211436.796875,none
102,122,115.9213342666626,,1676687552.5430093,41000,,,0.05000000074505806,97.0,200.0,1.999056439672131e-05,0.0,0.0007825000211596489,-4100.7900390625,212666.421875,none
103,123,117.50912117958067,,1676687554.1307962,41500,,,0.05000000074505806,97.0,200.0,4.494395398069173e-06,0.0,0.0007825000211596489,-4082.29443359375,218912.421875,none
104,125,119.08814787864684,,1676687555.709823,42000,,,0.05000000074505806,0.0,200.0,9.315868737758136e-06,0.0,0.0007825000211596489,-4083.55859375,225393.046875,none
105,126,120.66639494895936,,1676687557.28807,42500,,,0.05000000074505806,0.0,200.0,3.317059963592328e-05,0.0,0.0007825000211596489,-4091.184814453125,232083.546875,none
106,127,121.88364481925964,353.0,1676687558.5053198,42900,250.0,56.89500045776367,0.05000000074505806,,,0.0002069408365059644,0.0,0.0007825000211596489,-4093.252685546875,237616.796875,none
107,128,122.23970293998718,,1676687558.861378,43000,,,0.05000000074505806,97.0,200.0,0.007171418983489275,0.0,0.0007825000211596489,-4081.35986328125,239039.171875,none
108,129,123.83547282218932,,1676687560.4571478,43500,,,0.05000000074505806,97.0,200.0,0.007159885484725237,0.0,0.0007825000211596489,-4086.9150390625,246256.546875,none
109,130,125.05215430259705,352.0,1676687561.6738293,43900,250.0,61.14500045776367,0.05000000074505806,,,2.242165101051796e-05,0.0,0.0007825000211596489,-4087.445068359375,252212.546875,none
110,131,125.41435861587524,,1676687562.0360336,44000,,,0.05000000074505806,0.0,200.0,2.97029509965796e-05,0.0,0.0007825000211596489,-4086.485107421875,253741.171875,none
111,132,126.9914529323578,,1676687563.613128,44500,,,0.05000000074505806,97.0,200.0,3.7083413189975545e-05,0.0,0.0007825000211596489,-4092.955078125,261513.796875,none
112,133,128.21132946014404,351.0,1676687564.8330045,44900,250.0,65.91000366210938,0.05000000074505806,,,6.595283775823191e-05,0.0,0.0007825000211596489,-4081.201904296875,267936.28125,none
113,134,128.57236552238464,,1676687565.1940403,45000,,,0.05000000074505806,97.0,200.0,0.007006430067121983,0.0,0.0007825000211596489,-4087.78466796875,269584.03125,none
114,135,130.1551673412323,,1676687566.7768424,45500,,,0.05000000074505806,97.0,200.0,0.00013850285904482007,0.0,0.0007825000211596489,-4082.982177734375,277872.03125,none
115,137,131.7288360595703,,1676687568.350511,46000,,,0.05000000074505806,97.0,200.0,4.9456222768640146e-05,0.0,0.0007825000211596489,-4085.6025390625,286256.40625,none
116,138,133.29563307762146,,1676687569.917308,46500,,,0.05000000074505806,0.0,200.0,0.0073263938538730145,0.0,0.0007825000211596489,-4082.4541015625,294751.28125,none
117,139,134.51218485832214,349.0,1676687571.13386,46900,250.0,69.11499786376953,0.05000000074505806,,,0.007249921094626188,0.0,0.0007825000211596489,-4085.017578125,301619.03125,none
118,140,134.8667254447937,,1676687571.4884005,47000,,,0.05000000074505806,97.0,200.0,0.014217796735465528,0.0,0.0007825000211596489,-4082.22216796875,303346.90625,none
119,141,136.45542550086975,,1676687573.0771005,47500,,,0.05000000074505806,0.0,200.0,5.523911750060506e-05,0.0,0.0007825000211596489,-4080.7080078125,312104.03125,none
120,142,137.67628240585327,348.0,1676687574.2979574,47900,250.0,72.23500061035156,0.05000000074505806,,,3.259530058130622e-05,0.0,0.0007825000211596489,-4081.779296875,319247.03125,none
121,143,138.033753156662,,1676687574.6554282,48000,,,0.05000000074505806,0.0,200.0,0.007211966905742884,0.0,0.0007825000211596489,-4089.68505859375,321052.90625,none
122,144,139.60583686828613,,1676687576.227512,48500,,,0.05000000074505806,97.0,200.0,2.2432439436670393e-05,0.0,0.0007825000211596489,-4079.44580078125,330131.15625,none
123,147,142.744779586792,,1676687579.3664546,49500,,,0.05000000074505806,0.0,200.0,9.564005449647084e-05,0.0,0.0007825000211596489,-4088.2626953125,348840.15625,none
124,148,143.97420477867126,347.0,1676687580.5958798,49900,250.0,78.32499694824219,0.05000000074505806,,,3.739775638678111e-05,0.0,0.0007825000211596489,-4082.259765625,356559.65625,none
